Status,Voltage,Current,Temperature,Capacity,Cnt,SoC,cost
Connecting,3.28,0,23.77,0,1,0,0
Connecting,3.28,0,23.77,0,2,0,0
Connecting,3.28,0,23.77,0,3,0,0
Connecting,3.28,0,23.77,0,4,0,0
Connecting,3.28,0,23.77,0,5,0,0
Charging,3.51,3,23.77,0.04997,6,2,0.71
Charging,3.56,3,23.87,0.09995,7,4,0.99
Charging,3.58,3,23.98,0.14993,8,6.1,1.27
Charging,3.61,3,24.08,0.19991,9,8.1,1.55
Charging,3.63,3,24.19,0.24988,10,10.1,1.83
Charging,3.65,3,24.29,0.29986,11,12.1,2.11
Charging,3.67,3,24.29,0.34984,12,14.1,2.4
Charging,3.68,3,24.4,0.39981,13,16.1,2.69
Charging,3.7,3,24.4,0.44979,14,18.2,2.97
Charging,3.71,3,24.4,0.49977,15,20.2,3.25
Charging,3.72,3,24.4,0.54975,16,22.2,3.53
Charging,3.73,3,24.5,0.59973,17,24.2,3.82
Charging,3.75,3,24.5,0.6497,18,26.2,4.1
Charging,3.76,3,24.61,0.69968,19,28.3,4.38
Charging,3.78,3,24.61,0.74966,20,30.3,4.66
Charging,3.79,3,24.61,0.79963,21,32.3,4.94
Charging,3.8,3,24.61,0.84961,22,34.3,5.22
Charging,3.82,3,24.61,0.89959,23,36.3,5.51
Charging,3.84,3,24.61,0.94957,24,38.3,5.8
Charging,3.85,3,24.61,0.99955,25,40.4,6.08
Charging,3.87,3,24.71,1.04952,26,42.4,6.36
Charging,3.89,3,24.71,1.0995,27,44.4,6.64
Charging,3.91,3,24.82,1.14947,28,46.4,6.92
Charging,3.93,3,24.82,1.19945,29,48.4,7.21
Charging,3.95,3,24.82,1.24943,30,50.5,7.49
Charging,3.97,3,24.71,1.29941,31,52.5,7.77
Charging,3.99,3,24.82,1.34938,32,54.5,8.05
Charging,4,3,24.82,1.39936,33,56.5,8.34
Charging,4.02,3,24.92,1.44934,34,58.5,8.62
Charging,4.04,3,24.82,1.49931,35,60.6,8.9
Charging,4.05,3,24.92,1.54929,36,62.6,9.18
Charging,4.07,3,25.03,1.59927,37,64.6,9.46
Charging,4.09,3,25.03,1.64925,38,66.6,9.74
Charging,4.11,3,25.03,1.69923,39,68.6,10.03
Charging,4.13,3,25.03,1.74921,40,70.6,10.32
Charging,4.15,3,25.03,1.79918,41,72.7,10.6
Charging,4.17,3,24.92,1.84916,42,74.7,10.87
Charging,4.19,3,25.13,1.89914,43,76.7,11.12
Charging,4.2,2.61,25.13,1.94631,44,78.6,11.34
Charging,4.2,2.32,24.92,1.9873,45,80.3,11.54
Charging,4.2,2.12,24.92,2.02421,46,81.7,11.73
Charging,4.2,1.96,24.71,2.05818,47,83.1,11.9
Charging,4.2,1.85,24.61,2.0899,48,84.4,12.06
Charging,4.2,1.74,24.5,2.11974,49,85.6,12.22
Charging,4.2,1.65,24.61,2.14795,50,86.7,12.36
Charging,4.2,1.56,24.5,2.17467,51,87.8,12.5
Charging,4.2,1.48,24.29,2.2,52,88.8,12.64
Charging,4.2,1.39,24.19,2.22392,53,89.8,12.76
Charging,4.2,1.31,24.29,2.24648,54,90.7,12.88
Charging,4.2,1.23,24.4,2.2677,55,91.6,12.99
Charging,4.2,1.15,24.19,2.28758,56,92.4,13.08
Charging,4.2,1.07,24.08,2.3061,57,93.1,13.18
Charging,4.2,0.99,24.08,2.32325,58,93.8,13.27
Charging,4.2,0.91,24.29,2.33906,59,94.5,13.34
Charging,4.2,0.83,24.29,2.35356,60,95,13.42
Charging,4.2,0.75,23.98,2.36678,61,95.6,13.48
Charging,4.2,0.68,24.08,2.37872,62,96.1,13.54
Charging,4.2,0.61,24.29,2.38949,63,96.5,13.59
Charging,4.2,0.55,24.08,2.39918,64,96.9,13.64
Charging,4.2,0.49,23.77,2.40785,65,97.2,13.68
Charging,4.2,0.44,24.08,2.41558,66,97.6,13.71
Charging,4.2,0.39,24.29,2.42248,67,97.8,13.75
Charging,4.2,0.35,23.98,2.42863,68,98.1,13.78
Charging,4.2,0.31,23.77,2.4341,69,98.3,13.8
Charging,4.2,0.28,24.29,2.43898,70,98.5,13.83
Charging,4.2,0.25,24.08,2.44333,71,98.7,13.85
Charging,4.2,0.22,23.87,2.4472,72,98.8,13.87
Charging,4.2,0.2,23.77,2.45066,73,99,13.88
Charging,4.2,0.17,23.98,2.45375,74,99.1,13.9
Charging,4.2,0.16,24.08,2.45653,75,99.2,13.91
Charging,4.2,0.14,23.87,2.45903,76,99.3,13.92
Charging,4.2,0.13,23.77,2.4613,77,99.4,13.94
Charging,4.2,0.11,23.77,2.46334,78,99.5,13.94
Charging,4.2,0.11,23.98,2.4652,79,99.6,13.95
Charging,4.2,0.1,24.08,2.46688,80,99.6,13.96
Charging,4.2,0.09,23.87,2.46842,81,99.7,13.97
Charging,4.2,0.08,23.77,2.46982,82,99.7,13.97
Charging,4.2,0.07,23.66,2.47111,83,99.8,13.98
Charging,4.2,0.07,23.87,2.47229,84,99.8,13.99
Charging,4.2,0.06,23.87,2.47338,85,99.9,13.99
Charging,4.2,0.06,23.77,2.47439,86,99.9,14
Charging,4.2,0.05,23.66,2.47532,87,100,14
Charging,4.2,0.05,23.87,2.47614,88,100,14
Pause,4.2,0,23.98,2.47614,89,100,14
Pause,4.2,0,23.98,2.47614,90,100,14
Pause,4.2,0,23.98,2.47614,91,100,14
